ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Loan_Status,LogApplicantIncome,LogCoApplicantIncome,LogLoanAmount,Gender_E,Married_E,Dependents_E,Education_E,Self_Employed_E,Credit_History_E,Property_Area_E
5849,0.0,128.0,360.0,1,8.674196940225903,0.0,4.859812404361672,3.0,1.0,4.0,2.0,2.0,3.0,2.0
4583,1508.0,128.0,360.0,0,8.430327258394575,7.319202458767849,4.859812404361672,3.0,2.0,2.0,2.0,2.0,3.0,1.0
3000,0.0,66.0,360.0,1,8.006700845440367,0.0,4.204692619390966,3.0,2.0,4.0,2.0,1.0,3.0,2.0
2583,2358.0,120.0,360.0,1,7.857093864902493,7.765993079407675,4.795790545596741,3.0,2.0,4.0,1.0,2.0,3.0,2.0
6000,0.0,141.0,360.0,1,8.699681400989514,0.0,4.955827057601261,3.0,1.0,4.0,2.0,2.0,3.0,2.0
5417,4196.0,267.0,360.0,1,8.59748202264504,8.34212526333359,5.5909869805108565,3.0,2.0,5.0,2.0,1.0,3.0,2.0
2333,1516.0,95.0,360.0,1,7.755338812846501,7.324489979348532,4.564348191467836,3.0,2.0,4.0,1.0,2.0,3.0,2.0
3036,2504.0,158.0,360.0,0,8.01862546504575,7.826044013518965,5.0689042022202315,3.0,2.0,3.0,2.0,2.0,1.0,3.0
4006,1526.0,168.0,360.0,1,8.295798110636145,7.3310603052186325,5.1298987149230735,3.0,2.0,5.0,2.0,2.0,3.0,2.0
12841,10968.0,349.0,360.0,0,9.460476328353995,9.302828391411333,5.857933154483459,3.0,2.0,2.0,2.0,2.0,3.0,3.0
3200,700.0,70.0,360.0,1,8.071218539969863,6.55250788703459,4.2626798770413155,3.0,2.0,5.0,2.0,2.0,3.0,2.0
2500,1840.0,109.0,360.0,1,7.824445930877619,7.518064181233078,4.700480365792417,3.0,2.0,5.0,2.0,3.0,3.0,2.0
3073,8106.0,200.0,360.0,1,8.03073492409854,9.000483164987708,5.303304908059076,3.0,2.0,5.0,2.0,2.0,3.0,2.0
1853,2840.0,114.0,360.0,0,7.5251007461258,7.951911381854188,4.74493212836325,3.0,1.0,4.0,2.0,2.0,3.0,1.0
1299,1086.0,17.0,120.0,1,7.170119543449628,6.99117688712121,2.8903717578961645,3.0,2.0,5.0,2.0,2.0,3.0,2.0
4950,0.0,125.0,360.0,1,8.507344855361422,0.0,4.836281906951478,3.0,1.0,4.0,2.0,2.0,3.0,2.0
3596,0.0,100.0,240.0,1,8.187855443695623,0.0,4.61512051684126,3.0,1.0,2.0,1.0,2.0,2.0,2.0
3510,0.0,76.0,360.0,0,8.163656176168432,0.0,4.343805421853684,2.0,1.0,4.0,2.0,2.0,1.0,2.0
4887,0.0,133.0,360.0,0,8.494538500851432,0.0,4.897839799950911,3.0,2.0,4.0,1.0,2.0,3.0,1.0
2600,3500.0,115.0,360.0,1,7.8636512654486515,8.160803920954665,4.7535901911063645,3.0,2.0,4.0,2.0,3.0,3.0,2.0
7660,0.0,104.0,360.0,0,8.94389780251682,0.0,4.653960350157523,3.0,2.0,4.0,1.0,2.0,1.0,2.0
5955,5625.0,315.0,360.0,1,8.6921543938039,8.635153989049803,5.755742213586912,3.0,2.0,2.0,2.0,2.0,3.0,2.0
2600,1911.0,116.0,360.0,0,7.8636512654486515,7.555905093611346,4.762173934797756,3.0,2.0,4.0,1.0,2.0,1.0,3.0
3365,1917.0,112.0,360.0,0,8.121480374750751,7.559038255443384,4.727387818712341,1.0,2.0,5.0,1.0,2.0,1.0,1.0
3717,2925.0,151.0,360.0,0,8.220941168281389,7.98139158158007,5.0238805208462765,3.0,2.0,2.0,2.0,3.0,2.0,3.0
9560,0.0,191.0,360.0,1,9.165447603085447,0.0,5.2574953720277815,3.0,2.0,4.0,2.0,1.0,3.0,3.0
2799,2253.0,122.0,360.0,1,7.937374696163295,7.720461694599722,4.812184355372417,3.0,2.0,4.0,2.0,2.0,3.0,3.0
4226,1040.0,110.0,360.0,1,8.34924780056679,6.947937068614969,4.709530201312334,3.0,2.0,5.0,1.0,2.0,3.0,2.0
1442,0.0,35.0,360.0,0,7.274479558773871,0.0,3.58351893845611,3.0,1.0,4.0,1.0,2.0,3.0,2.0
3750,2083.0,120.0,360.0,1,8.229777750081887,7.642044402873258,4.795790545596741,2.0,1.0,5.0,2.0,3.0,3.0,3.0
4166,3369.0,201.0,360.0,0,8.334951631422454,8.122668023346407,5.308267697401205,3.0,2.0,2.0,2.0,3.0,2.0,2.0
3167,0.0,74.0,360.0,0,8.060855752934316,0.0,4.31748811353631,3.0,1.0,4.0,2.0,2.0,3.0,2.0
4692,0.0,106.0,360.0,0,8.453827315794417,0.0,4.672828834461906,3.0,1.0,2.0,2.0,1.0,3.0,1.0
3500,1667.0,114.0,360.0,1,8.160803920954665,7.419380582918692,4.74493212836325,3.0,2.0,4.0,2.0,2.0,3.0,3.0
12500,3000.0,320.0,360.0,0,9.433563920090563,8.006700845440367,5.771441123130016,3.0,1.0,3.0,2.0,2.0,3.0,1.0
2275,2067.0,128.0,360.0,1,7.730174795246222,7.63433723562832,4.859812404361672,3.0,2.0,4.0,2.0,2.0,3.0,2.0
1828,1330.0,100.0,360.0,0,7.511524648390866,7.193685818395112,4.61512051684126,3.0,2.0,4.0,2.0,2.0,1.0,2.0
3667,1459.0,144.0,360.0,1,8.207401833376355,7.286191714702382,4.976733742420574,2.0,2.0,4.0,2.0,2.0,3.0,3.0
4166,7210.0,184.0,360.0,1,8.334951631422454,8.88336291691676,5.220355825078324,3.0,1.0,4.0,2.0,2.0,3.0,2.0
3748,1668.0,110.0,360.0,1,8.229244416735913,7.419979923661835,4.709530201312334,3.0,1.0,4.0,1.0,2.0,3.0,3.0
